"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","rep_4","rep_5","mean","sd"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0.0127010791250123,0.012455752276168,0.01309574976299,0.00665201250819582,0.00791581779282968,0.0105640822930392,0.00303612029685482
0,0,0,0,0,0,1,0,0.000975445395303357,0.000466296747398724,0.00117294576303226,0,0.00014767071603727,0.000552471724354323,0.000510002389256231
0,0,0,0,0,0,1,1,0.0142648546328104,0.0139119622544412,0.0155549377855339,0.00626585628962762,0.00618758738563021,0.0112370396696087,0.00461456257383409
0,0,0,0,0,1,0,0,0.00732911825001004,0.0115740739368963,0.000861808247869613,0.00263115323411916,0.000191541926317913,0.0045175391190426,0.00483054687551059
0,0,0,0,0,1,0,1,0.0222471125610021,0.0189058596973803,0.0168333512366922,0.0181664587030165,0.0171040555004563,0.0186513675397095,0.00217535301280181
0,0,0,0,0,1,1,0,0.012947838760714,0.0166329417347373,0.00600745795382171,0.00219145615204602,0.00183363301080906,0.00792266552242562,0.00660894045167341
0,0,0,0,0,1,1,1,0.0173441898829136,0.0167165771051281,0.0212275967769647,0.0134144524365307,0.0124119117414586,0.0162229455885991,0.00349853566253507
0,0,0,0,1,0,0,0,0.00851839930154661,0.00574641710723223,0.00531487337498454,0.00259207829565337,0.00358197477303388,0.00515074857049013,0.00227654750699489
0,0,0,0,1,0,0,1,0.0369236808496957,0.0350877993697736,0.0340901163175624,0.0318038199778104,0.0346111706003481,0.034503317423038,0.00184860976015591
0,0,0,0,1,0,1,0,0.0190652776184461,0.0182450267407862,0.0170736519572131,0.0110070940932751,0.0179129850798489,0.0166608070979139,0.00324014242264462
0,0,0,0,1,0,1,1,0.0360713326356198,0.0365993091270529,0.0347595797410671,0.0314579297865256,0.0348744885491125,0.0347525279678756,0.00200119637273504
