"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","rep_4","mean","sd"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0.000189810997154138,0.000104623767383832,0,0.000145592474835778,0.000110006809843437,8.11696232657691e-05
0,0,0,0,0,0,1,0,0.00188626500335005,0.00271282836447901,0.00212747114768731,0.000461002304669555,0.00179689170504648,0.000955826136295758
0,0,0,0,0,0,1,1,0.000231537818622199,1.44814087239139e-05,0.001128130884878,0.000120930412737611,0.00037377013124043,0.000510655293637989
0,0,0,0,0,1,0,0,0.00398517373617276,0.00265181607389869,0.00135585475408807,0,0.00199821114103988,0.00171081747075759
0,0,0,0,0,1,0,1,0.0103514705167468,0.0113781235023938,0.00495834806909256,0.00574433589759131,0.00810806949645613,0.00322666406349686
0,0,0,0,0,1,1,0,0.000426042672726908,0.00174034796478525,0.00379552624518718,0.00026258519973538,0.00155612552060868,0.00163291021583988
0,0,0,0,0,1,1,1,0.00502576869186441,0.00559979280763425,0.00895086516755521,0.00477565574810477,0.00608802060378966,0.00193949529655238
0,0,0,0,1,0,0,0,0.00428438045220243,0.00198859462404903,0.00241608729602499,0.0034037396165059,0.00302320049719559,0.0010286529463367
0,0,0,0,1,0,0,1,0.0112474070150541,0.00794135626846389,0.00854306062051176,0.00874802152084424,0.00911996135621848,0.00145902806509179
0,0,0,0,1,0,1,0,0.00545098849393723,0.00264043052199455,0.00635852970877512,0.00337436130828589,0.0044560775082482,0.00173933475412175
0,0,0,0,1,0,1,1,0.00792128372431725,0.00606777636699769,0.00975861170680525,0.0064085548418186,0.0075390566599847,0.00168475737085826
0,0,0,0,1,1,0,0,0.0151478214508518,0.0104731438115651,0.0142595021590084,0.0140399267391431,0.0134800985401421,0.0020610639695811
0,0,0,0,1,1,0,1,0.033194018642188,0.015907483978286,0.0218998031139223,0.0213096787619727,0.0230777461240922,0.0072632692554653
0,0,0,0,1,1,1,0,0.0099317591341283,0.0142138328750698,0.0146641927383041,0.0114243403649468,0.0125585312781123,0.0022627530787181
0,0,0,0,1,1,1,1,0.018238665737138,0.0168646917680304,0.0206821125655069,0.0159242442708142,0.0179274285853724,0.00206779345648732
0,0,0,1,0,0,0,0,0.000188795162444837,0.00010695636953347,0,0.000146210438966722,0.000110490492736257,8.08871124238187e-05
0,0,0,1,0,0,0,1,0.00129022505534379,0.000486560466240351,0.00141815207232315,7.44539902152693e-05,0.00081734789603064,0.000644435190704614
0,0,0,1,0,0,1,0,0.000419025430216202,0.000861240214327984,0.00228135408048687,0.00155922411599796,0.00128021096025726,0.000815947892812628
0,0,0,1,0,0,1,1,0.00199909278791328,0.00378648406383102,0.0042193920811493,0.000992263472340831,0.00274930810130861,0.0015151358277567
0,0,0,1,0,1,0,0,0.000506503868276184,0.00156461939059947,0.00342103156665109,0.00212552137660921,0.00190441905053399,0.0012136213616442
0,0,0,1,0,1,0,1,0.00803008733504837,0.00876898171948715,0.013016842800841,0.0148588648675346,0.0111686941807278,0.00329861010367366
0,0,0,1,0,1,1,0,0.0029882122407059,0.00907667015024235,0.00517658332629539,0.00283278864089166,0.00501856358953382,0.0029093606297072
0,0,0,1,0,1,1,1,0.0069221786780058,0.00761162769400307,0.0112917888074784,0.00832077276707875,0.0085365919866415,0.00192350173129102
0,0,0,1,1,0,0,0,0.00240835699074056,0.00411408007125846,0.00434750290397349,0.00557292152488063,0.00411071537271328,0.00130283671889016
