"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","rep_4","rep_5","mean","sd"
0,1,0,0,0,0,1,0,0.0317883882713348,0.0210066888848439,0.038552217916957,0.0229871803229878,0.0330815028905151,0.0294831956573277,0.00732390392764808
0,1,0,0,0,0,1,1,0.0462249627961349,0.0408669282478658,0.0394055487075038,0.0500548085852397,0.0366170973511796,0.0426338691375847,0.00542475740441358
0,1,0,0,0,1,0,0,0.0377560550772868,0.041139655352515,0.0410993666554038,0.0490028677146217,0.0541451561688968,0.0446286201937448,0.00673719444244867
0,1,0,0,0,1,0,1,0.0476670938985981,0.0664944179431532,0.0481314273392431,0.0504187664300972,0.0497714305167134,0.052496627225561,0.00790666980726566
0,1,0,0,0,1,1,0,0.0365002543893217,0.0457652761052404,0.0455722529333402,0.0519533865329363,0.0496493095586644,0.0458880959039006,0.00589874750178577
0,1,0,0,0,1,1,1,0.0418266073166573,0.075988744706624,0.0561633798009793,0.0500582166673643,0.0522835935525954,0.055264108408844,0.0127168240133574
0,1,0,0,1,0,0,0,0.0488922420999375,0.0428315722388924,0.0413998503195363,0.056058427492262,0.0601968472664574,0.0498757878834171,0.00817280785995052
0,1,0,0,1,0,0,1,0.0650040970760133,0.0598801450406439,0.0471881676762682,0.0548082684271436,0.05675111843412,0.0567263593308378,0.0065788314359127
0,1,0,0,1,0,1,0,0.0466218074158467,0.0428955485023436,0.0528975297419844,0.0508344866514939,0.0542268176022027,0.0494952379827743,0.00467892953482706
0,1,0,0,1,0,1,1,0.0609245376589321,0.061149553051252,0.0567955153434573,0.0567739167863674,0.0565148900355243,0.0584316825751066,0.00238225054591727
0,1,0,0,1,1,0,0,0.056647634598611,0.0595784445658073,0.0570477240246975,0.0563409267898193,0.0554684173588163,0.0570166294675503,0.00154544132246818
0,1,0,0,1,1,0,1,0.0693299873940723,0.0796661730387341,0.0622447792466819,0.0706521720671547,0.0664229827584492,0.0696632189010184,0.00645524089883409
0,1,0,0,1,1,1,0,0.060076678516778,0.0653737052151042,0.0603802917914924,0.0587762810935671,0.057915598496175,0.0605045110226234,0.00289813603510159
0,1,0,0,1,1,1,1,0.0700059083896453,0.0780517697001193,0.0735625077734764,0.0676488393322113,0.0682409615798726,0.071501997355065,0.00432621902546084
0,1,0,1,0,0,0,0,0.0539183122985145,0.0382310324816416,0.0430679272800115,0.0366428714933891,0.0523683166389342,0.0448456920384982,0.00795460169880363
0,1,0,1,0,0,0,1,0.0493993900915981,0.0482772554066751,0.03762331607695,0.0549289879124683,0.0667015589186987,0.051386101681278,0.0106082690497649
0,1,0,1,0,0,1,0,0.0407345751918299,0.0325412126022828,0.0389183465185427,0.0305469091120487,0.0472193757977461,0.03799208384449,0.00668327693234964
0,1,0,1,0,0,1,1,0.041927702393083,0.0487916284812838,0.0460662844629128,0.0613128661883259,0.0679121218147046,0.053202120668062,0.0109504958077732
0,1,0,1,0,1,0,0,0.0425274762453323,0.052735819194622,0.0458093208304216,0.0597614741850431,0.0681028088567319,0.0537873798624302,0.0103942525643863
0,1,0,1,0,1,0,1,0.0613469465674509,0.0682727253433143,0.0551567253048315,0.0636711511288384,0.0613550507121171,0.0619605198113104,0.00473827191138337
0,1,0,1,0,1,1,0,0.033635606646716,0.0536272218127665,0.0490759736132701,0.0572818383009595,0.0717299545311418,0.0530701189809708,0.0137830681711622
0,1,0,1,0,1,1,1,0.0453239346519704,0.0687505548994495,0.0421197151465768,0.058809938334232,0.0549121550491496,0.0539832596162757,0.0107000032753967
0,1,0,1,1,0,0,0,0.0902607701977564,0.064835188742717,0.0661313021127624,0.076868916780743,0.083578416255055,0.0763349188178068,0.0109890892623965
0,1,0,1,1,0,0,1,0.0816574343559698,0.0645033431453637,0.0574803024326941,0.0694529226664125,0.0780321749125334,0.0702252355025947,0.00984140883962355
0,1,0,1,1,0,1,0,0.0672946338687198,0.0553195949998691,0.0561626928275198,0.0706841538985843,0.0791331374865593,0.0657188426162505,0.0100814816723646
0,1,0,1,1,0,1,1,0.0792353989539604,0.0654390068654299,0.0831739877726893,0.076184439907056,0.0731434345258258,0.0754352536049923,0.00670946672390227
0,1,0,1,1,1,0,0,0.0865462123185248,0.0800127110658904,0.07111127269741,0.075501459816641,0.0804802225077909,0.0787303756812514,0.00579375263181616
0,1,0,1,1,1,0,1,0.0864607039677925,0.0850315865806592,0.0794347346841685,0.0781215241178168,0.0796692930295439,0.0817435684759962,0.00373547077833625
0,1,0,1,1,1,1,0,0.0814135731393606,0.075249819504196,0.0750577372239801,0.0721457055558199,0.0771063844121895,0.0761946439671092,0.00341495405572598
0,1,0,1,1,1,1,1,0.095315826681402,0.0834481192404793,0.0760788538761021,0.0858126269999177,0.0930581177854927,0.0867427089166788,0.0077268996890885
0,1,1,0,0,0,0,0,0.0397626558599527,0.039528083766022,0.0341522856398632,0.0541641450112305,0.0567805688778569,0.0448775478309851,0.00997162138215729
0,1,1,0,0,0,0,1,0.0628773891466483,0.0679737530882412,0.0562901687754495,0.0654301350563185,0.0655657217601618,0.0636274335653639,0.00448037968295912
0,1,1,0,0,0,1,0,0.033808650005689,0.0338453682334523,0.0424142309468009,0.0482192678067836,0.0563042696896276,0.0429183573364707,0.00965456295843343
0,1,1,0,0,0,1,1,0.0520197742794397,0.0544931197236022,0.0542815697979711,0.0631599317726542,0.0626313682245119,0.0573171527596358,0.00518727042552967
0,1,1,0,0,1,0,0,0.0736522965383816,0.0658274316081436,0.0632709663345469,0.0706939131052871,0.06664476133948,0.0680178737851679,0.00412687870154027
0,1,1,0,0,1,0,1,0.0761385664777047,0.0733290322376467,0.0675134287051646,0.0777186223760922,0.0723657114585385,0.0734130722510293,0.00393306184736618
0,1,1,0,0,1,1,0,0.0638611041257483,0.0754891313038077,0.0674014202106325,0.0711303068162619,0.0686339628908898,0.069303185069468,0.00433834984735983
0,1,1,0,0,1,1,1,0.0720282445433099,0.07884585813008,0.0589817498664287,0.0677169073359538,0.0643568090303742,0.0683859137812293,0.00754646544441624
0,1,1,0,1,0,0,0,0.067566811759011,0.0549525221802517,0.0500224081138497,0.0668241603540564,0.0638792390504415,0.0606490282915221,0.00777491935514601
0,1,1,0,1,0,0,1,0.0828897179595285,0.0797841904356252,0.0719653488330723,0.0777001419928326,0.072161142872363,0.0769001084186843,0.00478651887776983
0,1,1,0,1,0,1,0,0.0723706401316365,0.0712706510934339,0.0681637225472,0.072870252577107,0.0715655125750618,0.0712481557848878,0.0018375335970366
0,1,1,0,1,0,1,1,0.0766964348732803,0.0851171654627736,0.0604632094268028,0.0709695222855223,0.0686912930217784,0.0723875250140315,0.00919881262761427
0,1,1,0,1,1,0,0,0.0783223036025078,0.0784067629555296,0.0783931359176731,0.0739233742379627,0.0689752787827712,0.0756041710992889,0.00417697203752126
0,1,1,0,1,1,0,1,0.0889922104847935,0.0900528950141716,0.0883362473741367,0.0881137307199716,0.0868565246943094,0.0884703216574766,0.00117541269623592
0,1,1,0,1,1,1,0,0.0786211241727457,0.0802182128180634,0.0810080516627116,0.0810068881408832,0.0694338090294047,0.0780576171647617,0.00491830874127095
0,1,1,0,1,1,1,1,0.0935298842548026,0.0880640036115633,0.0903962795918888,0.0837668527631724,0.0732987032871547,0.0858111447017164,0.00784885493559355
0,1,1,1,0,0,0,0,0.0548543883596859,0.0443879854693575,0.039435757017122,0.065214490336613,0.0715984540137715,0.05509821503931,0.0135524718436596
0,1,1,1,0,0,0,1,0.0736426754853333,0.0727283031752924,0.0796673179801752,0.0754048794066353,0.076663147615363,0.0756212647325598,0.00272887025224541
0,1,1,1,0,0,1,0,0.0539694666556343,0.0505053723581852,0.055669435108509,0.0545246634784681,0.0672208001159256,0.0563779475433444,0.00635987466657133
0,1,1,1,0,0,1,1,0.0596071064764407,0.0763514276176065,0.0671313041076761,0.0700244492258868,0.0602157709284223,0.0666660116712065,0.00701314177283383
0,1,1,1,0,1,0,0,0.06764793490997,0.0699531734586485,0.0654032323486648,0.0711671030963589,0.0628780090015541,0.0674098905630393,0.00336177879609082
0,1,1,1,0,1,0,1,0.0795065792184403,0.0931164662447064,0.0595710637364443,0.075099673530261,0.0758460610227324,0.0766279687505169,0.0119795870387511
0,1,1,1,0,1,1,0,0.0639978392474996,0.06798579544071,0.0731902730169938,0.0708165183706733,0.0616723449410317,0.0675325542033817,0.00473908991429366
0,1,1,1,0,1,1,1,0.0782444933731554,0.097140458063809,0.0588660654062498,0.0714010337884725,0.0746456881099371,0.0760595477483247,0.0138608743731357
0,1,1,1,1,0,0,0,0.0752379306442711,0.0603186623177363,0.0483887616379902,0.0712169985497281,0.065641144480216,0.0641606995259883,0.0104666541582691
0,1,1,1,1,0,0,1,0.078729671078319,0.0635819440454915,0.0526658412171474,0.0642705472208088,0.0588903834378691,0.0636276773999272,0.00963184033284331
0,1,1,1,1,0,1,0,0.0716504044684491,0.0776348917436269,0.0631442272935367,0.0801873166579454,0.0761305872902626,0.0737494854907641,0.00669121327254249
0,1,1,1,1,0,1,1,0.0803578134353255,0.095809699436478,0.0717966123746647,0.081892004350325,0.0796786779978491,0.0819069615189284,0.0087015891131322
0,1,1,1,1,1,0,0,0.0797472514536246,0.0902342368093224,0.0851010824280175,0.089340663120593,0.078675220767417,0.0846196909157949,0.00531789040867038
0,1,1,1,1,1,0,1,0.0857440847983305,0.101326883307193,0.10153643836268,0.100539926656322,0.095426079458446,0.0969146825165943,0.00672623093637933
0,1,1,1,1,1,1,0,0.0825331688812236,0.093062589278094,0.0923358941181906,0.0850318232322779,0.0783582863995938,0.086264352381876,0.00634480854102905
0,1,1,1,1,1,1,1,0.0965034061630559,0.106516592540895,0.0854936286130759,0.0850453864682432,0.0978090594977056,0.0942736146565952,0.00907758500762961
1,0,0,0,0,0,0,0,0.000286667289337353,3.11011414244997e-05,0.00266546106295326,0,0,0.000596645898743022,0.00116274421644009
1,0,0,0,0,0,0,1,0.014275020679582,0.0114542198723942,0.0180480420374867,0.0158087515414288,0.0158850669197609,0.0150942202101305,0.0024383266423347
1,0,0,0,0,0,1,0,0.000273553279635366,0,0.0023822537787242,0,0.000558047709826926,0.000642770953637299,0.0009994510012113
1,0,0,0,0,0,1,1,0.00901591071568907,0.012010693716665,0.0173604085994866,0.0129327596343837,0.0109781105790495,0.0124595766490548,0.00310230271766674
1,0,0,0,0,1,0,0,0.016532615507401,0.021324122876581,0.020290631062989,0.019433602759318,0.0154293163393608,0.01860205770913,0.0025150181283366
1,0,0,0,0,1,0,1,0.0220773959763582,0.0353386674018857,0.0299193784335225,0.0283434304168055,0.0254827301176945,0.0282323204692533,0.00496996024473051
1,0,0,0,0,1,1,0,0.0155589615597271,0.024975504521371,0.0233501242834886,0.0199732141121863,0.0164735421348559,0.0200662693223258,0.00412663497380128
1,0,0,0,0,1,1,1,0.0222793247532617,0.032000891338864,0.0340177595673698,0.0263151230798456,0.0243614210084483,0.0277949039495579,0.00502031952068312
1,0,0,0,1,0,0,0,0.0237251900416544,0.016228339916648,0.022937413598714,0.0203210624201883,0.0188684142718189,0.0204160840498047,0.00305158962411694
1,0,0,0,1,0,0,1,0.0319777704418645,0.0289380537469467,0.0277827091319693,0.0278643024396378,0.0273732120951071,0.0287872095711051,0.00187500668019293
1,0,0,0,1,0,1,0,0.0204617146152721,0.0153613900069219,0.0235332690897633,0.0178459650575093,0.0161080604116741,0.0186620798362282,0.00335599396543071
1,0,0,0,1,0,1,1,0.0289002069021227,0.0321449708611597,0.0334880066990173,0.0311819120199839,0.027995523513655,0.0307421239991877,0.00227143883046587
1,0,0,0,1,1,0,0,0.0283541610684592,0.0363302716518515,0.0314486277846604,0.0310256302072079,0.0302346770244765,0.0314786735473311,0.00296033193929207
1,0,0,0,1,1,0,1,0.038514122594989,0.0499474405625754,0.0419391182720196,0.0403466880545865,0.036270958698825,0.0414036656365991,0.00522240702688397
1,0,0,0,1,1,1,0,0.0314284150028002,0.0378857701864334,0.0396663740628972,0.035785271559132,0.0309612747316616,0.0351454211085849,0.00386267888183178
1,0,0,0,1,1,1,1,0.0399345500110398,0.0520438506669094,0.0505466980972913,0.0432063115559341,0.0368180801793408,0.0445098981021031,0.00661438973801309
1,0,0,1,0,0,0,0,0.0234989322675673,0.0166309024340313,0.0154702477740588,0.00231961613406579,0.00961289294353607,0.0135065183106519,0.00796513410198144
1,0,0,1,0,0,0,1,0.0176904213106182,0.0160502199712761,0.0199825475595597,0.0281994970447007,0.032267939998787,0.0228381251769883,0.00704263004111476
1,0,0,1,0,0,1,0,0.0217530884033917,0.0299920502244016,0.018716773750922,0.00326459364453366,0.00653471501375726,0.0160522442074012,0.0110456428388836
1,0,0,1,0,0,1,1,0.0111763290642045,0.0206513191116593,0.0283737977111449,0.0177933767623126,0.0153318306676984,0.018665330663404,0.00644507861304819
1,0,0,1,0,1,0,0,0.024573179443873,0.0311945574608683,0.0305280575184723,0.0267381320177802,0.0225584836747133,0.0271184820231414,0.00373016126717991
1,0,0,1,0,1,0,1,0.0288562174948464,0.0423997697317946,0.0391991887399383,0.0365133760953121,0.0373996276151941,0.0368736359354171,0.00501577021585102
1,0,0,1,0,1,1,0,0.0226781323810342,0.0406680899151226,0.0379085892951092,0.0310685096096266,0.024745053089151,0.0314136748580087,0.00788554800420351
1,0,0,1,0,1,1,1,0.0316479903055596,0.0400067436590361,0.0473249329827454,0.034366513838456,0.0333838595150281,0.0373460080601651,0.00639730157528005
1,0,0,1,1,0,0,0,0.0336014476455553,0.0248568551807634,0.0251365608444968,0.0345969910370897,0.0346444750026293,0.0305672659421069,0.00510318345727343
1,0,0,1,1,0,0,1,0.0392266256311654,0.0354670499697409,0.0319500951731128,0.0342438541584299,0.0366997378827417,0.0355174725630381,0.00271598948311634
1,0,0,1,1,0,1,0,0.0321084223753363,0.0234974971599163,0.0311545054010592,0.0291085562424604,0.0326699672177308,0.0297077896793006,0.00372683959200649
1,0,0,1,1,0,1,1,0.0354155085654396,0.0390842476305715,0.0407541180285388,0.0339144943372435,0.0376672498872397,0.0373671236898066,0.00274953505400352
1,0,0,1,1,1,0,0,0.0405426600261012,0.0468012030011756,0.0467103732382863,0.0415577759901583,0.0379100955456734,0.042704421560279,0.00393080265179569
1,0,0,1,1,1,0,1,0.051146752937468,0.0670928051723256,0.0584176233749356,0.051422914464158,0.0460305634851925,0.0548221318868159,0.00815248039539341
1,0,0,1,1,1,1,0,0.0376897473650056,0.0608433763143482,0.0506977279627459,0.0433299656268931,0.0360618249694344,0.0457245284476854,0.0102099430812543
1,0,0,1,1,1,1,1,0.0557492174666201,0.0672579671652946,0.067691134209526,0.054267653435407,0.0551669542614056,0.0600265853076507,0.00682120552583185
