"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","rep_4","mean","sd"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0.0048515295501755,0.00424705664605272,0.00389817680698068,0.00449927343644326,0.00437400910991304,0.000402595839920403
0,0,0,0,0,0,1,0,0.00476179841874892,0.0036082510720084,0.00491836128841078,0.00385738735794028,0.0042864495342771,0.000650465610765965
0,0,0,0,0,0,1,1,0.0120673021260223,0.0143738474764344,0.0120695394060594,0.0103777447703525,0.0122221084447172,0.00164102615577331
0,0,0,0,0,1,0,0,0,5.28373962710577e-05,0.00012839383333411,0.000128904692310981,7.75339804790371e-05,6.28413719005396e-05
0,0,0,0,0,1,0,1,0.00404037884035724,0.00450336570440564,0.0034915887055738,0.00633771084405586,0.00459326102359813,0.00123430776137262
0,0,0,0,0,1,1,0,0.00387570244682281,0.00455374543315496,0.00356781550135144,0.00402553935404112,0.00400570068384258,0.000412063746992969
0,0,0,0,0,1,1,1,0.0122188607276298,0.0140841856791306,0.00993703335386304,0.0122600957554452,0.0121250438790172,0.00169829986177816
0,0,0,0,1,0,0,0,0.00867836195619701,0.00922802484905383,0.0081704964885984,0.00852760328720605,0.00865112164526382,0.000439627367619388
0,0,0,0,1,0,0,1,0.0134983050706679,0.0149138351638986,0.0144878092178141,0.0152133917967359,0.0145283353122791,0.000748446654848368
0,0,0,0,1,0,1,0,0.0117960818163518,0.0105615448492337,0.0097942500999409,0.0112784433400235,0.0108575800263875,0.000871056618351221
0,0,0,0,1,0,1,1,0.0117338387376613,0.0149063621996871,0.0126724895785244,0.0163094603370261,0.0139055377132247,0.00208304086828832
0,0,0,0,1,1,0,0,0.00749932532601244,0.00871180705970579,0.00974852619564135,0.00951131900174748,0.00886774439577677,0.00101437206449748
0,0,0,0,1,1,0,1,0.0141277419298417,0.0151448210978957,0.0137849262695133,0.0142047270936977,0.0143155540977371,0.000582181439321506
0,0,0,0,1,1,1,0,0.0092620631236403,0.0117909145741137,0.00964727804048391,0.01281777457284,0.0108795075777695,0.00170509607274949
0,0,0,0,1,1,1,1,0.0115688486867282,0.0125718903570149,0.0113646451226137,0.0135519053130826,0.0122643223698598,0.0010075664900379
0,0,0,1,0,0,0,0,0.0104126140247199,0.0118916386374955,0.0110524046804028,0.0131938635642214,0.0116376302267099,0.00120132372943634
0,0,0,1,0,0,0,1,0.0156979703602487,0.0186501679160635,0.0161274273119834,0.0201045522337442,0.01764502945551,0.00209393656446519
0,0,0,1,0,0,1,0,0.0132996636893454,0.0159880168450231,0.0122301548267067,0.01732217475771,0.0147100025296963,0.00235198246972004
0,0,0,1,0,0,1,1,0.0178890513463407,0.0212106503879117,0.0182750059474476,0.0215300631844111,0.0197261927165278,0.00190950209006069
0,0,0,1,0,1,0,0,0.0104199020257459,0.0122258121080521,0.0116157930406642,0.0111578248692143,0.0113548330109191,0.000761492586898055
0,0,0,1,0,1,0,1,0.0156671681785946,0.0189370047995913,0.0162999600497132,0.0185379286935906,0.0173605154303724,0.00161903503711427
0,0,0,1,0,1,1,0,0.0119070898790736,0.0147141446752201,0.013211919101286,0.0146914321070044,0.013631146440646,0.00134724576574376
0,0,0,1,0,1,1,1,0.0166081458075746,0.0186559954513661,0.0172197587400084,0.0193631383130447,0.0179617595779985,0.00126868189997458
0,0,0,1,1,0,0,0,0.0111761613772557,0.0127665748954223,0.0115958548516756,0.0140030033002478,0.0123853986061504,0.00127116407619738
0,0,0,1,1,0,0,1,0.0132853224913001,0.0145981622322452,0.0135038409795687,0.0129158504589617,0.0135757940405189,0.000723489970945901
0,0,0,1,1,0,1,0,0.0124280798322024,0.0140267873990709,0.0116043768634873,0.0125714073018095,0.0126576628491425,0.00100731686208253
0,0,0,1,1,0,1,1,0.015926986205431,0.017204140581709,0.0142844382591106,0.0151246163020576,0.015635045337077,0.00124257349027274
0,0,0,1,1,1,0,0,0.00938656060195691,0.0106341632698381,0.00977505061936829,0.00988596781590951,0.00992043557676819,0.000521777258020238
0,0,0,1,1,1,0,1,0.0122316124830275,0.0147634422215373,0.0126441554402054,0.0135502389579591,0.0132973622756823,0.00112187919945882
0,0,0,1,1,1,1,0,0.0115422914934856,0.0144426195519157,0.0116270263969963,0.0123401281364815,0.0124880163947198,0.00135130107723869
0,0,0,1,1,1,1,1,0.0152190133627369,0.0156250481919322,0.013841169775275,0.0150829762147688,0.0149420518861782,0.000769197135907851
0,0,1,0,0,0,0,0,0.00839256975585445,0.0094579032707877,0.00828945792599649,0.00867571802507392,0.00870391224442814,0.000528521178728486
0,0,1,0,0,0,0,1,0.0132514998604013,0.0136207177457384,0.0157998300393945,0.0115923740968294,0.0135661054355909,0.00173080907628067
0,0,1,0,0,0,1,0,0.00935331011730843,0.0108491365885625,0.00882266059622169,0.00942574922344558,0.00961271413138454,0.000867020069040436
0,0,1,0,0,0,1,1,0.0146670170672539,0.0155898581762608,0.0128833954362384,0.0151217590778523,0.0145655074394014,0.00118300680656195
0,0,1,0,0,1,0,0,0.00836992786493682,0.00929776282022995,0.0076497420379926,0.00967297190448492,0.00874760115691107,0.000914133585554156
0,0,1,0,0,1,0,1,0.0118333141254656,0.0148216007202376,0.0152780388268845,0.0148610846404598,0.0141985095782619,0.00159026006393243
0,0,1,0,0,1,1,0,0.0111885203489631,0.0135535677384895,0.0111239621645143,0.0134147556153865,0.0123202014668383,0.00134547782901721
0,0,1,0,0,1,1,1,0.0144068670028265,0.0160407058576619,0.0150171858861432,0.0161291004961872,0.0153984648107047,0.00083165335290629
0,0,1,0,1,0,0,0,0.0117938826304708,0.0117252945669723,0.0123719082311595,0.0102644670244166,0.0115388881132548,0.000897745546411896
0,0,1,0,1,0,0,1,0.0171796103646257,0.017389482141696,0.0168769399198401,0.0136779239649166,0.0162809890977696,0.00174808299553928
0,0,1,0,1,0,1,0,0.0139237978798516,0.0148846857467548,0.0124554467424329,0.0144466419587214,0.0139276430819402,0.0010571451089315
0,0,1,0,1,0,1,1,0.0154302965947068,0.0185237633631057,0.0149864746056691,0.0154048079704999,0.0160863356334954,0.00163764214583521
0,0,1,0,1,1,0,0,0.0102377717177515,0.0123451582900573,0.00940371819678944,0.0120843655227697,0.011017753431842,0.00142748569454984
0,0,1,0,1,1,0,1,0.0153467407136963,0.0171038274481765,0.0154937987195585,0.0128899887021975,0.0152085888959072,0.00173860735422966
0,0,1,0,1,1,1,0,0.0136089542949548,0.0170605686683673,0.0130273502934606,0.0145109675352666,0.0145519601980124,0.00178030824580037
0,0,1,0,1,1,1,1,0.0153522794560411,0.0162968843964492,0.0138069724714912,0.0156088352878602,0.0152662429029604,0.00105142188026796
0,0,1,1,0,0,0,0,0.0119207423591519,0.0129674832096888,0.0121794731377106,0.0111804508851479,0.0120620373979248,0.000737288351215014
0,0,1,1,0,0,0,1,0.0178013387498366,0.0209522468493112,0.0162162371322334,0.0158696625060479,0.0177098713093573,0.00231938762964202
0,0,1,1,0,0,1,0,0.0132164236833418,0.014443164434756,0.0131326555551277,0.0131214645908014,0.0134784270660067,0.000644552586328783
0,0,1,1,0,0,1,1,0.0173320569996409,0.0216925762250465,0.0152203436810081,0.016577976999965,0.0177057384764151,0.00279782929648431
0,0,1,1,0,1,0,0,0.0108296216677169,0.0125784884671306,0.0103426832875492,0.0123020249186988,0.0115132045852739,0.00109460388283785
0,0,1,1,0,1,0,1,0.0170454562373269,0.020675745636725,0.0156157383506326,0.0161721279258274,0.017377267037628,0.00227635696305864
