"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","mean","sd"
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0.0187145876355277,0.0202475137006744,0.0167197269384917,0.0185606094248979,0.00176892674434791
0,0,0,0,0,0,1,0,0.00406171765794124,0.00584066063011445,0.00237644401015884,0.00409294076607151,0.00173231935836183
0,0,0,0,0,0,1,1,0.020639836159842,0.0221253416117163,0.0200898347646905,0.0209516708454163,0.00105297325911803
0,0,0,0,0,1,0,0,0.010028873516884,0.00900267568327779,0.0125685932984912,0.0105333808328843,0.00183571180568891
0,0,0,0,0,1,0,1,0.0301721311105905,0.028844903117571,0.028134507418867,0.0290505138823428,0.00103425548933075
0,0,0,0,0,1,1,0,0.0157259171655428,0.0110539546566183,0.0151215010526688,0.01396712429161,0.00254091473706881
0,0,0,0,0,1,1,1,0.0299587649936712,0.0248963938367879,0.0324608671125805,0.0291053419810132,0.0038537724522792
0,0,0,0,1,0,0,0,0.0232471814742379,0.0273375196083586,0.0162616570053172,0.0222821193626379,0.00560064208460042
0,0,0,0,1,0,0,1,0.0392494662709442,0.0472747647371899,0.0382230295969729,0.0415824202017024,0.00495635781541647
0,0,0,0,1,0,1,0,0.0266772280189275,0.0387541532839905,0.0222514686872546,0.0292276166633909,0.00854183887715002
0,0,0,0,1,0,1,1,0.0400248292429017,0.0451846812899532,0.0385181487594813,0.0412425530974454,0.00349611248880862
0,0,0,0,1,1,0,0,0.0277766933187753,0.0325637682618323,0.0270839840807958,0.0291414818871345,0.00298395619018233
0,0,0,0,1,1,0,1,0.0518965871717709,0.0528924804480355,0.0450664108498303,0.0499518261565456,0.00426009540899533
0,0,0,0,1,1,1,0,0.0321237712278389,0.0345665139320854,0.0303011815761377,0.0323304889120207,0.00214016685737087
0,0,0,0,1,1,1,1,0.049051040651926,0.0435591846599918,0.0470791533922217,0.0465631262347131,0.00278205563918133
0,0,0,1,0,0,0,0,0.0180686492492518,0.0193805605295086,0.0210687343744215,0.019505981384394,0.00150396990751023
0,0,0,1,0,0,0,1,0.0373073398589015,0.041727162580452,0.0330683669861061,0.0373676231418199,0.00432971255879827
0,0,0,1,0,0,1,0,0.0201781165274834,0.0244234603437546,0.020031552137351,0.0215443763361964,0.0024944365740678
0,0,0,1,0,0,1,1,0.0368534094958386,0.0354367884989368,0.0352944592417538,0.0358615524121764,0.000861916330145053
0,0,0,1,0,1,0,0,0.0265671264670548,0.0246564324858489,0.0285467185797605,0.0265900925108881,0.00194524472817629
0,0,0,1,0,1,0,1,0.0404615323726667,0.0325702155209039,0.0394195984270201,0.0374837821068635,0.00428704548993442
0,0,0,1,0,1,1,0,0.0281221075385826,0.0269729892177766,0.0296093480983862,0.0282348149515818,0.00132178828015344
0,0,0,1,0,1,1,1,0.0416036098183572,0.0361336459682466,0.0370970321980221,0.0382780959948753,0.00291998457180122
0,0,0,1,1,0,0,0,0.0441282522486103,0.0475391627968333,0.0347855344059319,0.0421509831504585,0.00660272323349851
0,0,0,1,1,0,0,1,0.0499927443696374,0.057846762816919,0.0420700730727917,0.0499698600864494,0.00788836976747575
0,0,0,1,1,0,1,0,0.0458471205604406,0.0464120224857822,0.0389742573260841,0.043744466790769,0.00414076711480378
0,0,0,1,1,0,1,1,0.0532116817234452,0.0585289184427117,0.0497089332498888,0.0538165111386819,0.0044409907302938
0,0,0,1,1,1,0,0,0.0465500437023884,0.0430190076844673,0.0449867002728513,0.0448519172199024,0.00176937240101842
0,0,0,1,1,1,0,1,0.0559616535090601,0.0484911099875781,0.0548494407282397,0.0531007347416259,0.00403059978133568
